date,Adj Close,Close,High,Low,Open,Volume
07-02-2023,41490.94922,41490.94922,41630.75,41095.10156,41513.10156,171900
08-02-2023,41537.64844,41537.64844,41791.94922,41403.05078,41542.05078,136500
09-02-2023,41554.30078,41554.30078,41634,41252.94922,41634,142900
10-02-2023,41559.39844,41559.39844,41678.89844,41424.89844,41452.39844,155000
13-02-2023,41282.19922,41282.19922,41662.55078,41157.89844,41563.5,147000
14-02-2023,41648.35156,41648.35156,41718,41195.75,41410.44922,143100
15-02-2023,41731.05078,41731.05078,41795.44922,41455.60156,41674.60156,116300
16-02-2023,41631.35156,41631.35156,41979.10156,41521.94922,41925.69922,111700
17-02-2023,41131.75,41131.75,41516.30078,40882.69922,41514,138800
20-02-2023,40701.69922,40701.69922,41292.60156,40580.10156,41221.55078,143700
21-02-2023,40673.60156,40673.60156,40946.19922,40508.25,40784.89844,170200
22-02-2023,39995.89844,39995.89844,40529.25,39899,40494.14844,155200
23-02-2023,40001.55078,40001.55078,40147.80078,39600.25,39983.69922,200500
24-02-2023,39909.39844,39909.39844,40348.10156,39818.89844,40259.10156,144600
27-02-2023,40307.10156,40307.10156,40371.44922,39745.39844,39820.39844,165200
28-02-2023,40269.05078,40269.05078,40391.44922,40073,40302.69922,327800
01-03-2023,40698.14844,40698.14844,40725.35156,40341.94922,40473.85156,169800
02-03-2023,40389.80078,40389.80078,40773.25,40312.89844,40604.55078,149200
03-03-2023,41251.35156,41251.35156,41390.14844,40605.35156,40671.39844,213800
06-03-2023,41350.39844,41350.39844,41671.19922,41259.14844,41418.39844,180200
08-03-2023,41577.10156,41577.10156,41625.35156,41100.35156,41178.35156,157600
09-03-2023,41256.75,41256.75,41659,41208.10156,41532.64844,119200
10-03-2023,40485.44922,40485.44922,40839,40341.69922,40805.25,145300
13-03-2023,39564.69922,39564.69922,40690.05078,39454.60156,40356.10156,174500
14-03-2023,39411.39844,39411.39844,39768.5,39132.60156,39522.39844,205700
15-03-2023,39051.5,39051.5,39914.10156,38934.64844,39777.89844,164300
16-03-2023,39132.60156,39132.60156,39381.39844,38613.14844,39061.69922,196300
17-03-2023,39598.10156,39598.10156,39705.14844,38926.80078,39442.39844,173400
20-03-2023,39361.94922,39361.94922,39512.10156,38941.89844,39512.10156,173800
21-03-2023,39894.69922,39894.69922,39970.89844,39366.30078,39599.64844,187900
